serial_no,bid_no,S.No.,Seller Name,Offered Item,Total Price,Rank,Status,Winner
176,GEM/2025/B/6602917,3,DEEP MARKETING (MII) ( MSE Social Category:General ) Under PMA,"Item Categories : Hematology Reagent,Hematology Reagent,Micro Cover glass,Microscope Slide,Glucose Biochemistry Reage",` 710819.80,L3,Qualified,
176,GEM/2025/B/6602917,4,TAK ELECTRONICS AND ENTERPRISES (MII) ( MSE Social Category:General ) Under PMA,"Item Categories : Hematology Reagent,Hematology Reagent,Micro Cover glass,Microscope Slide,Glucose Biochemistry Reage",` 740253.00,L4,Qualified,
180,GEM/2025/B/6541090,1,SAYONI (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Distilled water 5L,Leishman Stain 500 ml,Malaria Antigen KIt,Widal Rapid test,Cholestrol 2 x 50ml,T",` 122453.97,L1,,
180,GEM/2025/B/6541090,,,,,,,
182,GEM/2025/B/6548664,1,ANAND SALES (INDIA) Under PMA,Item Categories : Affixing of Graphics on 140 Nos. MPVs (Maruti Ertiga) of PCR Unit,` 1893080.00,L1,,
182,GEM/2025/B/6548664,,,,,,,
185,GEM/2025/B/6532102,1,PIONEER BIO SOLUTION Under PMA,"Item Categories : Mitochondrial Membrane Potential Assay Kit,Human Mitochondrial DNA Damage Quantification qPCR Assay",` 313434.00,L1,,
185,GEM/2025/B/6532102,2,GENERAL TRADING CORPORATION Under PMA,"Item Categories : Mitochondrial Membrane Potential Assay Kit,Human Mitochondrial DNA Damage Quantification qPCR Assay",` 318595.00,L2,,
185,GEM/2025/B/6532102,3,CELLTECH BIOSCIENCES LLP Under PMA,"Item Categories : Mitochondrial Membrane Potential Assay Kit,Human Mitochondrial DNA Damage Quantification qPCR Assay",` 321224.00,L3,,
185,GEM/2025/B/6532102,4,SB Biochem Under PMA,"Item Categories : Mitochondrial Membrane Potential Assay Kit,Human Mitochondrial DNA Damage Quantification qPCR Assay",` 347700.00,L4,,
185,GEM/2025/B/6532102,5,RENWIK BIOINNOVATIONS PRIVATE LIMITED Under PMA,"Item Categories : Mitochondrial Membrane Potential Assay Kit,Human Mitochondrial DNA Damage Quantification qPCR Assay",` 374380.00,L5,,
185,GEM/2025/B/6532102,,,,,,,
184,GEM/2025/B/6556841,1,RADIANT BIOSCIENCES PRIVATE LIMITED Under PMA,Item Categories : Qualitative PCR Machine (Thermal Cycler),` 413000.00,L1,,
184,GEM/2025/B/6556841,,,,,,,
186,GEM/2025/B/6541610,1,M/S R G AND SONS SCIENTIFIC SOLUTION Under PMA,Item Categories : PCR Machine,` 618299.15,L1,,
186,GEM/2025/B/6541610,,,,,,,
188,GEM/2025/B/6354282,1,Bioapps Under PMA,"Item Categories : TEMPERATURE CONTROLLED CENTRIFUGE,ANGLE ROTOR 12 X 1.5 - 2.2 ML,ANGLE ROTOR FOR 12 GREINER TUBES 15",` 10819491.52,L1,,
188,GEM/2025/B/6354282,,,,,,,
181,GEM/2025/B/6595152,1,D D ASSOCIATES (MII) Under PMA,Item Categories : Automated Real Time Micro PCR Machine,` 1792000.00,L1,,
181,GEM/2025/B/6595152,2,RAMESH MEDICAL HALL (MII) Under PMA,Item Categories : Automated Real Time Micro PCR Machine,` 1910000.00,L2,,
181,GEM/2025/B/6595152,3,REMEDIAL HUB (MII) Under PMA,Item Categories : Automated Real Time Micro PCR Machine,` 1958000.00,L3,,
181,GEM/2025/B/6595152,,,,,,,
190,GEM/2025/B/6560014,1,SARSAWA SALES CORPORATION (MSE) ( MSE Social Category:OBC ) Under PMA,"Item Categories : HEAD 312 EPSON,EPSON 3210 PUMP ASSY,EPSON 3210INK PAD,BTY 12 VH 7AH,RAM 16 GB DDR 4,CANON 2006 N DR",` 56970.00,L1,,
190,GEM/2025/B/6560014,2,S R ENTERPRISES (MSE) ( MSE Social Category:OBC ) Under PMA,"Item Categories : HEAD 312 EPSON,EPSON 3210 PUMP ASSY,EPSON 3210INK PAD,BTY 12 VH 7AH,RAM 16 GB DDR 4,CANON 2006 N DR",` 62594.00,L2,,
190,GEM/2025/B/6560014,3,PAWAN TRADING COMPANY (MSE) ( MSE Social Category:OBC ) Under PMA,"Item Categories : HEAD 312 EPSON,EPSON 3210 PUMP ASSY,EPSON 3210INK PAD,BTY 12 VH 7AH,RAM 16 GB DDR 4,CANON 2006 N DR",` 66964.00,L3,,
190,GEM/2025/B/6560014,,,,,,,
189,GEM/2025/B/6539366,1,DGA ARMSTRONG HEALTHCARE (MII) Under PMA,"Item Categories : 15 ml Falcon Sterile Polypropylene tubes for centrifuge,Falcon tubes rack for 16 tubes,Filter Tips",` 1126072.00,L1,,
189,GEM/2025/B/6539366,2,Pankaj Enterprises (MII) ( MSE Social Category:General ) Under PMA,"Item Categories : 15 ml Falcon Sterile Polypropylene tubes for centrifuge,Falcon tubes rack for 16 tubes,Filter Tips",` 1229217.00,L2,,
189,GEM/2025/B/6539366,3,ANKUR TOTAL SOLUTION (MII) ( MSE Social Category:General ) Under PMA,"Item Categories : 15 ml Falcon Sterile Polypropylene tubes for centrifuge,Falcon tubes rack for 16 tubes,Filter Tips",` 1247636.00,L3,,
189,GEM/2025/B/6539366,4,Ritik Associates (MII) ( MSE Social Category:General ) Under PMA,"Item Categories : 15 ml Falcon Sterile Polypropylene tubes for centrifuge,Falcon tubes rack for 16 tubes,Filter Tips",` 1318441.00,L4,,
189,GEM/2025/B/6539366,5,GeneXpert India (MII) ( MSE Social Category:General ) Under PMA,"Item Categories : 15 ml Falcon Sterile Polypropylene tubes for centrifuge,Falcon tubes rack for 16 tubes,Filter Tips",` 1423911.00,L5,,
189,GEM/2025/B/6539366,6,Garg Chemicals (MII) ( MSE Social Category:General ) Under PMA,"Item Categories : 15 ml Falcon Sterile Polypropylene tubes for centrifuge,Falcon tubes rack for 16 tubes,Filter Tips",` 1722045.49,L6,,
189,GEM/2025/B/6539366,7,BIO GENOME INDIA (MII) ( MSE Social Category:OBC ) Under PMA,"Item Categories : 15 ml Falcon Sterile Polypropylene tubes for centrifuge,Falcon tubes rack for 16 tubes,Filter Tips",` 1753297.20,L7,,
189,GEM/2025/B/6539366,8,KALPATRU SCIENTIFIC (MII) ( MSE Social Category:General ) Under PMA,"Item Categories : 15 ml Falcon Sterile Polypropylene tubes for centrifuge,Falcon tubes rack for 16 tubes,Filter Tips",` 2454914.00,L8,,
189,GEM/2025/B/6539366,,,,,,,
111,GEM/2025/B/6763520,1,GENOMID LIFE SCIENCE (MII) Under PMA,"Item Categories : Phenol 500Gpk,Goat Anti Bovine IgG H L Secondary Antibody HRP,Sheep anti Bovine IgM Secondary Antib",` 565050.00,L1,,
111,GEM/2025/B/6763520,,,,,,,
187,GEM/2025/B/6541031,1,EDURES SCIENTECH PRIVATE LIMITED (MSE) Under PMA,"Item Categories : Rnasezap,Rneasy plant mini Mini Kit 50,10x Dnase I reaction buffer,Quantitech SYBR Green PCR kit 20",` 368894.17,L1,,
187,GEM/2025/B/6541031,2,Hitech Scientific & Mediquips (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Rnasezap,Rneasy plant mini Mini Kit 50,10x Dnase I reaction buffer,Quantitech SYBR Green PCR kit 20",` 376772.00,L2,,
187,GEM/2025/B/6541031,3,UNIVERSAL LABORATORY EQUIPMENTS (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Rnasezap,Rneasy plant mini Mini Kit 50,10x Dnase I reaction buffer,Quantitech SYBR Green PCR kit 20",` 1113027.63,L3,,
187,GEM/2025/B/6541031,,,,,,,
112,GEM/2025/B/6803583,1,M/S  SHRI SIDDH NATH TRADERS Under PMA,Item Categories : Forensic DNA Extraction Kit,` 47900.00,L1,,
112,GEM/2025/B/6803583,2,SHREE SIDHNATH ENTERPRISES Under PMA,Item Categories : Forensic DNA Extraction Kit,` 47948.00,L2,,
112,GEM/2025/B/6803583,3,NEELAM ENTERPRICE ( MSE Social Category:OBC ) Under PMA,Item Categories : Forensic DNA Extraction Kit,` 47950.00,L3,,
112,GEM/2025/B/6803583,4,K C ASSOCIATES Under PMA,Item Categories : Forensic DNA Extraction Kit,` 48200.00,L4,,
112,GEM/2025/B/6803583,,,,,,,
113,GEM/2025/B/6803330,1,M/S  SHRI SIDDH NATH TRADERS Under PMA,Item Categories : Forensic DNA Extraction Kit,` 107820.00,L1,,
113,GEM/2025/B/6803330,2,SHREE SIDHNATH ENTERPRISES Under PMA,Item Categories : Forensic DNA Extraction Kit,` 107973.00,L2,,
113,GEM/2025/B/6803330,3,NEELAM ENTERPRICE ( MSE Social Category:OBC ) Under PMA,Item Categories : Forensic DNA Extraction Kit,` 107991.00,L3,,
113,GEM/2025/B/6803330,4,K C ASSOCIATES Under PMA,Item Categories : Forensic DNA Extraction Kit,` 109800.00,L4,,
113,GEM/2025/B/6803330,,,,,,,
114,GEM/2025/B/6803268,1,M/S  SHRI SIDDH NATH TRADERS Under PMA,Item Categories : Forensic DNA Extraction Kit,` 449820.00,L1,,
114,GEM/2025/B/6803268,2,SHREE SIDHNATH ENTERPRISES Under PMA,Item Categories : Forensic DNA Extraction Kit,` 449865.00,L2,,
114,GEM/2025/B/6803268,3,NEELAM ENTERPRICE ( MSE Social Category:OBC ) Under PMA,Item Categories : Forensic DNA Extraction Kit,` 449910.00,L3,,
114,GEM/2025/B/6803268,4,K C ASSOCIATES Under PMA,Item Categories : Forensic DNA Extraction Kit,` 449910.00,L3,,
114,GEM/2025/B/6803268,,,,,,,
116,GEM/2025/B/6803373,1,GAURNIL CORPORATION Under PMA,Item Categories : DNA Evidence Sample Collection Kit (IO) - Crime Scene Investigation Kit for Investigating Officer,` 104395.50,L1,,
116,GEM/2025/B/6803373,2,PITAMBARA ASSOCIATES Under PMA,Item Categories : DNA Evidence Sample Collection Kit (IO) - Crime Scene Investigation Kit for Investigating Officer,` 107991.00,L2,,
116,GEM/2025/B/6803373,3,Advantage India Under PMA,Item Categories : DNA Evidence Sample Collection Kit (IO) - Crime Scene Investigation Kit for Investigating Officer,` 108000.00,L3,,
116,GEM/2025/B/6803373,,,,,,,
117,GEM/2025/B/6803277,1,GAURNIL CORPORATION Under PMA,Item Categories : DNA Evidence Sample Collection Kit (IO) - Crime Scene Investigation Kit for Investigating Officer,` 886414.50,L1,,
117,GEM/2025/B/6803277,2,PITAMBARA ASSOCIATES Under PMA,Item Categories : DNA Evidence Sample Collection Kit (IO) - Crime Scene Investigation Kit for Investigating Officer,` 887850.00,L2,,
117,GEM/2025/B/6803277,3,Advantage India Under PMA,Item Categories : DNA Evidence Sample Collection Kit (IO) - Crime Scene Investigation Kit for Investigating Officer,` 887999.94,L3,,
117,GEM/2025/B/6803277,,,,,,,
120,GEM/2025/B/6781937,1,HINDUSTAN TRADERS & SUPPLIERS Under PMA,Item Categories : Forensic DNA Extraction Kit,` 545226.00,L1,,
120,GEM/2025/B/6781937,2,I.T. SOLUTION Under PMA,Item Categories : Forensic DNA Extraction Kit,` 546689.00,L2,,
120,GEM/2025/B/6781937,3,akhand bharat suppliers and construction Under PMA,Item Categories : Forensic DNA Extraction Kit,` 549989.00,L3,,
120,GEM/2025/B/6781937,,,,,,,
119,GEM/2025/B/6756774,1,PREMAS LIFE SCIENCES PRIVATE LIMITED Under PMA,"Item Categories : ILMN DNA LP(M) Tagmentation (96 samples, IPB) Cat No. 20060059",` 424812.52,L1,,
119,GEM/2025/B/6756774,,,,,,,
115,GEM/2025/B/6798558,1,GAURNIL CORPORATION Under PMA,Item Categories : DNA Evidence Sample Collection Kit (IO) - Crime Scene Investigation Kit for Investigating Officer,` 797104.50,L1,,
115,GEM/2025/B/6798558,2,PITAMBARA ASSOCIATES Under PMA,Item Categories : DNA Evidence Sample Collection Kit (IO) - Crime Scene Investigation Kit for Investigating Officer,` 800768.00,L2,,
115,GEM/2025/B/6798558,3,Advantage India Under PMA,Item Categories : DNA Evidence Sample Collection Kit (IO) - Crime Scene Investigation Kit for Investigating Officer,` 806565.00,L3,,
115,GEM/2025/B/6798558,,,,,,,
118,GEM/2025/B/6789670,1,PROGENE  LIFE SCIENCES ( MSE Social Category:General ) Under PMA,Item Categories : Nucleic Acid Sequencing and Genotyping Service - DNA sequencing; Plant; Leaf; To be collected by th,` 196824.00,L1,,
118,GEM/2025/B/6789670,2,CENTYLE BIOTECH PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Nucleic Acid Sequencing and Genotyping Service - DNA sequencing; Plant; Leaf; To be collected by th,` 247729.20,L2,,
118,GEM/2025/B/6789670,3,SANRAY LABORATORIES PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Nucleic Acid Sequencing and Genotyping Service - DNA sequencing; Plant; Leaf; To be collected by th,` 297360.00,L3,,
118,GEM/2025/B/6789670,,,,,,,
185,GEM/2025/B/6914228,1,BECTON DICKINSON INDIA PRIVATE LIMITED. Under PMA,Item Categories : Flow Cell Square Cuvette R2 Service (64797507) for FACS Aria - III,` 754473.00,L1,,
185,GEM/2025/B/6914228,,,,,,,
183,GEM/2025/B/6928760,1,MEDEX INDIA PRIVATE LIMITED Under PMA,"Item Categories : Cell pack Pack of 20 ltr,Stromatolyser wh bottle of 500 ml pkt of 3 bottle,Cell clean bottle of 50",` 41186.00,L1,,
183,GEM/2025/B/6928760,2,VIVEK ENTERPRISES Under PMA,"Item Categories : Cell pack Pack of 20 ltr,Stromatolyser wh bottle of 500 ml pkt of 3 bottle,Cell clean bottle of 50",` 45522.00,L2,,
183,GEM/2025/B/6928760,3,BRISTOL MEDICAMENTS (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Cell pack Pack of 20 ltr,Stromatolyser wh bottle of 500 ml pkt of 3 bottle,Cell clean bottle of 50",` 50554.00,L3,,
183,GEM/2025/B/6928760,4,GLOBAL DIAGNOSTICS (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Cell pack Pack of 20 ltr,Stromatolyser wh bottle of 500 ml pkt of 3 bottle,Cell clean bottle of 50",` 50720.00,L4,,
183,GEM/2025/B/6928760,,,,,,,
184,GEM/2025/B/6924211,1,"Goyal Sales (MSE,MII) ( MSE Social Category:General ) Under PMA","Item Categories : CD mailer Cover Brown,Blowers for Cleaning Dust Cleaner,Dura Cell AA,Dura Cell AAA,Dusting cloth,Mo",` 250297.00,L1,,
184,GEM/2025/B/6924211,2,"G. L. SUPPLIERS (MSE,MII) ( MSE Social Category:General ) Under PMA","Item Categories : CD mailer Cover Brown,Blowers for Cleaning Dust Cleaner,Dura Cell AA,Dura Cell AAA,Dusting cloth,Mo",` 263155.00,L2,,
184,GEM/2025/B/6924211,3,"Brand Innovation (MSE,MII) ( MSE Social Category:General ) Under PMA","Item Categories : CD mailer Cover Brown,Blowers for Cleaning Dust Cleaner,Dura Cell AA,Dura Cell AAA,Dusting cloth,Mo",` 269145.00,L3,,
184,GEM/2025/B/6924211,,,,,,,
181,GEM/2025/B/6926206,1,OCEANTECH MARINE SERVICES (OPC) PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,"Item Categories : Repair, Maintenance, and Installation of Plant/ Systems/Equipments (Version 2) - DIVING CELL, CGDHQ",` 88200.00,L1,,
181,GEM/2025/B/6926206,2,S P UDYOG ( MSE Social Category:SC ) Under PMA,"Item Categories : Repair, Maintenance, and Installation of Plant/ Systems/Equipments (Version 2) - DIVING CELL, CGDHQ",` 162900.00,L2,,
181,GEM/2025/B/6926206,3,UK ENTERPRISE ( MSE Social Category:OBC ) Under PMA,"Item Categories : Repair, Maintenance, and Installation of Plant/ Systems/Equipments (Version 2) - DIVING CELL, CGDHQ",` 188000.00,L3,,
181,GEM/2025/B/6926206,,,,,,,
186,GEM/2025/B/6926380,1,"Nitin Enterprises (MSE,MII) ( MSE Social Category:General ) Under PMA","Item Categories : Air Conditionor 2 Ton with Fitting,HP Laserjet 2606DW Drum,Bulb Warm White 9W,Bulb Warm White 3W,Tu",` 112335.00,L1,,
186,GEM/2025/B/6926380,2,"UTTAM ENGINEERING WORKS. (MSE,MII) ( MSE Social Category:General ) Under PMA","Item Categories : Air Conditionor 2 Ton with Fitting,HP Laserjet 2606DW Drum,Bulb Warm White 9W,Bulb Warm White 3W,Tu",` 116304.00,L2,,
186,GEM/2025/B/6926380,3,"M/S FALCON INTERNATIONAL (MSE,MII) ( MSE Social Category:General ) Under PMA","Item Categories : Air Conditionor 2 Ton with Fitting,HP Laserjet 2606DW Drum,Bulb Warm White 9W,Bulb Warm White 3W,Tu",` 120640.00,L3,,
186,GEM/2025/B/6926380,,,,,,,
187,GEM/2025/B/6918302,1,S.S. VISION Co. (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Green PVC Net 50 ft Length x 4 ft Height,2.5 Ltr Milton Thermos Steel,1 Ltr Milton Thermos Steel,St",` 83280.00,L1,,
187,GEM/2025/B/6918302,2,GBS ENTERPRISE (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Green PVC Net 50 ft Length x 4 ft Height,2.5 Ltr Milton Thermos Steel,1 Ltr Milton Thermos Steel,St",` 113000.00,L2,,
187,GEM/2025/B/6918302,3,GB SINGH (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Green PVC Net 50 ft Length x 4 ft Height,2.5 Ltr Milton Thermos Steel,1 Ltr Milton Thermos Steel,St",` 127340.00,L3,,
187,GEM/2025/B/6918302,,,,,,,
182,GEM/2025/B/6894459,1,"KBS ENTERPRISES (MSE,MII) ( MSE Social Category:General ) Under PMA","Item Categories : A4 Paper,Register 300 Pages,Register 200 Pages,Register 100 Pages,Envelope A4 Size Yellow,Envelope",` 94712.00,L1,,
182,GEM/2025/B/6894459,2,"JMS ENTERPRISES (MSE,MII) ( MSE Social Category:General ) Under PMA","Item Categories : A4 Paper,Register 300 Pages,Register 200 Pages,Register 100 Pages,Envelope A4 Size Yellow,Envelope",` 99164.00,L2,,
182,GEM/2025/B/6894459,3,"KAUSHAL FABRICATORS (MSE,MII) ( MSE Social Category:General ) Under PMA","Item Categories : A4 Paper,Register 300 Pages,Register 200 Pages,Register 100 Pages,Envelope A4 Size Yellow,Envelope",` 105235.00,L3,,
182,GEM/2025/B/6894459,,,,,,,
188,GEM/2025/B/6887465,1,JAYALAKSHMI ENTERPRISES (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Room Freshner,Cleaner White Toilet or Harpic,Disinfectant Fluid White black,Paint Signal Red,Paint",` 61743.00,L1,Qualified,
188,GEM/2025/B/6887465,2,ESS KAY HOME CARE (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Room Freshner,Cleaner White Toilet or Harpic,Disinfectant Fluid White black,Paint Signal Red,Paint",` 83370.00,L2,Qualified,
188,GEM/2025/B/6887465,3,MAA PRABHWATI ENTERPRISES (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Room Freshner,Cleaner White Toilet or Harpic,Disinfectant Fluid White black,Paint Signal Red,Paint",` 109954.00,L3,Qualified,
188,GEM/2025/B/6887465,4,M/S-USM SHIPCARE (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Room Freshner,Cleaner White Toilet or Harpic,Disinfectant Fluid White black,Paint Signal Red,Paint",` 121295.00,L4,Qualified,
188,GEM/2025/B/6887465,5,M/S RELIABLE OFFICE SUPPLIERS (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Room Freshner,Cleaner White Toilet or Harpic,Disinfectant Fluid White black,Paint Signal Red,Paint",` 123990.00,L5,Qualified,
188,GEM/2025/B/6887465,6,OCEAN MARINE SERVICES (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Room Freshner,Cleaner White Toilet or Harpic,Disinfectant Fluid White black,Paint Signal Red,Paint",` 144294.50,L6,Qualified,
188,GEM/2025/B/6887465,7,rameshwar marine services (MSE) ( MSE Social Category:OBC ) Under PMA,"Item Categories : Room Freshner,Cleaner White Toilet or Harpic,Disinfectant Fluid White black,Paint Signal Red,Paint",` 145888.00,L7,Qualified,
188,GEM/2025/B/6887465,8,BLUE STORM ENTERPRISES (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Room Freshner,Cleaner White Toilet or Harpic,Disinfectant Fluid White black,Paint Signal Red,Paint",` 157095.00,L8,Qualified,
188,GEM/2025/B/6887465,9,A S SALES AND SERVICES (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Room Freshner,Cleaner White Toilet or Harpic,Disinfectant Fluid White black,Paint Signal Red,Paint",` 440889.75,L9,Qualified,
188,GEM/2025/B/6887465,10,YADAV ELECTRONICS & ELECTRICALS Under PMA,"Item Categories : Room Freshner,Cleaner White Toilet or Harpic,Disinfectant Fluid White black,Paint Signal Red,Paint",` 480700.00,L10,Qualified,
189,GEM/2025/B/6841723,1,"B.J. MEHTA ARCHITECTURAL & STRUCTURAL CONSULTANTS PRIVATE LIMITED (MSE,MII) ( MSE Social Category:General ) Under PMA","Item Categories : visual inspection and photography,Ultrasonic pulse valocity test,Rebound hammer test,Core test,Rein",` 539850.00,L1,,
189,GEM/2025/B/6841723,2,"KBP ENGINEERING SERVICES PRIVATE LIMITED (MSE,MII) ( MSE Social Category:SC ) Under PMA","Item Categories : visual inspection and photography,Ultrasonic pulse valocity test,Rebound hammer test,Core test,Rein",` 559250.00,L2,,
189,GEM/2025/B/6841723,3,"SUSHUMNA CONSULTANCY SERVICES LLP (MSE,MII) ( MSE Social Category:General ) Under PMA","Item Categories : visual inspection and photography,Ultrasonic pulse valocity test,Rebound hammer test,Core test,Rein",` 582250.00,L3,,
189,GEM/2025/B/6841723,4,"AADHAV DESIGNS AND DEVELOPERS PRIVATE LIMITED (MSE,MII) ( MSE Social Category:General ) Under PMA","Item Categories : visual inspection and photography,Ultrasonic pulse valocity test,Rebound hammer test,Core test,Rein",` 698955.20,L4,,
189,GEM/2025/B/6841723,5,"SLIP TEC (MSE,MII) ( MSE Social Category:General ) Under PMA","Item Categories : visual inspection and photography,Ultrasonic pulse valocity test,Rebound hammer test,Core test,Rein",` 762280.00,L5,,
189,GEM/2025/B/6841723,6,"RKCT LABORATORY PRIVATE LIMITED (MSE,MII) ( MSE Social Category:SC ) Under PMA","Item Categories : visual inspection and photography,Ultrasonic pulse valocity test,Rebound hammer test,Core test,Rein",` 785250.00,L6,,
189,GEM/2025/B/6841723,7,"EDGE CONSULTANTS (MSE,MII) ( MSE Social Category:OBC ) Under PMA","Item Categories : visual inspection and photography,Ultrasonic pulse valocity test,Rebound hammer test,Core test,Rein",` 6610000.00,L7,,
189,GEM/2025/B/6841723,,,,,,,
171,GEM/2025/B/6589866,1,ABC DIAGNOSTICS PVT LTD (MII) Under PMA,Item Categories : Biochemistry Reagent Kit (Close System),` 117600.00,L1,,
171,GEM/2025/B/6589866,,,,,,,
173,GEM/2025/B/6557005,1,B.K.SURGICINES Under PMA,Item Categories : Biochemistry Reagent Kit (Close System),` 66393.60,L1,,
173,GEM/2025/B/6557005,,,,,,,
175,GEM/2025/B/6512429,1,M/S. NOBLE ENTERPRISES (MII) Under PMA,Item Categories : Biochemistry Reagent Kit (Close System),` 20758.93,L1,,
175,GEM/2025/B/6512429,,,,,,,
178,GEM/2025/B/6510010,1,"NARAYAN OFFSET WORKS PRIVATE LIMITED (MSE,MII) ( MSE Social Category:General ) Under PMA","Item Categories : INITIAL EXAMINATION MEDICAL EXAMINATION,REPORT OF MEDICAL EXAMINATION,FORM O REPORT,X RAY PME REPOR",` 14850.00,L1,,
178,GEM/2025/B/6510010,,,,,,,
172,GEM/2025/B/6557103,1,B.K.SURGICINES Under PMA,Item Categories : Biochemistry Reagent Kit (Close System),` 139703.20,L1,,
172,GEM/2025/B/6557103,,,,,,,
179,GEM/2025/B/6417549,1,JAINAM PHARMA (INDIA) PRIVATE LIMITED (MII) Under PMA,"Item Categories : Biochemistry Reagent Kit (Close System),Biochemistry Reagent Kit (Close System),Biochemistry Reagen",` 1485932.00,L1,,
179,GEM/2025/B/6417549,,,,,,,
174,GEM/2025/B/6558185,1,M/S THE INSTRUMENTALS Under PMA,"Item Categories : Biochemistry Reagent Kit (Close System),Biochemistry Reagent Kit (Close System),Biochemistry Reagen",` 3076123.60,L1,,
174,GEM/2025/B/6558185,2,M/S BALAJEE ENTERPRISES Under PMA,"Item Categories : Biochemistry Reagent Kit (Close System),Biochemistry Reagent Kit (Close System),Biochemistry Reagen",` 3100392.00,L2,,
